Pure Aluminium
Pure Carbon
Pure Silicon
Pure Iron
Pure Calcium
Pure Chromium
Pure Copper
Pure Sodium
Pure Lithium
Pure Nickel
Pure Silver
Pure Sulfur
Pure Cobalt
Pure Fluorine
Pure Gold
Pure Scandium
Pure Manganese
Pure Niobium
Pure Titanium
Pure Vanadium
Catalyst 3
Catalyst 4
Catalyst 5
Nitron Fuel
Kergon-X1 Fuel
Kergon-X2 Fuel
Kergon-X3 Fuel
Kergon-X4 Fuel
Xeron Fuel
Al-Fe Alloy
Al-Li Alloy
Calcium Reinforced Copper
Cu-Ag Alloy
Duralumin
Grade 5 Titanium Alloy
Inconel
Mangalloy
Maraging Steel
Red Gold
Sc-Al Alloy
Stainless Steel
Ti-Nb Supraconductor
Biological Matter
Brick
Marble
Concrete
Carbon Fiber
Glass
Advanced Glass
Ag-Li Reinforced Glass
Gold-Coated Glass
Manganese Reinforced Glass
Polycarbonate Plastic
Polycalcite Plastic
Polysulfide Plastic
Fluoropolymer
Vanamer
Silumin
Steel
Wood
Basic Component
Uncommon Component
Advanced Component
Basic Connector
Uncommon Connector
Advanced Connector
Basic Fixation
Uncommon Fixation
Advanced Fixation
Basic LED
Uncommon LED
Advanced LED
Basic Pipe
Uncommon Pipe
Advanced Pipe
Basic Screw
Uncommon Screw
Advanced Screw
Basic Antimatter Capsule
Uncommon Antimatter Capsule
Advanced Antimatter Capsule
Basic Burner
Uncommon Burner
Advanced Burner
Rare Burner
Exotic Burner
Basic Electronics
Uncommon Electronics
Advanced Electronics
Rare Electronics
Exotic Electronics
Basic Explosive Module
Uncommon Explosive Module
Advanced Explosive Module
Basic Hydraulics
Uncommon Hydraulics
Advanced Hydraulics
Rare Hydraulics
Exotic Hydraulics
Basic Injector
Uncommon Injector
Advanced Injector
Rare Injector
Basic Magnet
Uncommon Magnet
Advanced Magnet
Rare Magnet
Exotic Magnet
Basic Optics
Uncommon Optics
Advanced Optics
Rare Optics
Exotic Optics
Basic Power System
Uncommon Power System
Advanced Power System
Rare Power System
Exotic Power System
Basic Processor
Uncommon Processor
Advanced Processor
Basic Quantum Core
Uncommon Quantum Core
Advanced Quantum Core
Rare Quantum Core
Exotic Quantum Core
Basic Singularity Container
Uncommon Singularity Container
Advanced Singularity Container
Rare Singularity Container
Exotic Singularity Container
Uncommon Solid Warhead
Advanced Solid Warhead
Advanced Anti-Gravity Core
Rare Anti-Gravity Core
Exotic Anti-Gravity Core
Advanced Quantum Alignment Unit
Rare Quantum Alignment Unit
Exotic Quantum Alignment Unit
Advanced Quantum Barrier
Advanced Antimatter Core
Basic Antenna XS
Basic Antenna S
Uncommon Antenna XS
Uncommon Antenna S
Uncommon Antenna M
Uncommon Antenna L
Advanced Antenna S
Advanced Antenna M
Advanced Antenna L
Advanced Antenna XL
Rare Antenna S
Rare Antenna M
Rare Antenna L
Exotic Antenna S
Exotic Antenna M
Exotic Antenna L
Exotic Antenna XL
Basic Chemical Container XS
Basic Chemical Container S
Basic Chemical Container M
Basic Chemical Container L
Basic Chemical Container XL
Uncommon Chemical Container M
Advanced Chemical Container S
Advanced Chemical Container M
Advanced Chemical Container L
Advanced Chemical Container XL
Rare Chemical Container M
Basic Combustion Chamber XS
Basic Combustion Chamber S
Basic Combustion Chamber M
Basic Combustion Chamber L
Uncommon Combustion Chamber XS
Uncommon Combustion Chamber S
Uncommon Combustion Chamber M
Uncommon Combustion Chamber L
Advanced Combustion Chamber XS
Advanced Combustion Chamber S
Advanced Combustion Chamber M
Advanced Combustion Chamber L
Rare Combustion Chamber XS
Rare Combustion Chamber S
Rare Combustion Chamber M
Rare Combustion Chamber L
Basic Control System XS
Basic Control System S
Basic Control System M
Advanced Control System S
Advanced Control System M
Advanced Control System L
Basic Core System XS
Basic Core System S
Uncommon Core System S
Uncommon Core System M
Uncommon Core System L
Advanced Core System M
Rare Core System L
Exotic Core System S
Basic Electric Engine S
Basic Electric Engine M
Uncommon Electric Engine XL
Basic Firing System XS
Advanced Firing System XS
Advanced Firing System S
Advanced Firing System M
Advanced Firing System L
Rare Firing System XS
Rare Firing System S
Rare Firing System M
Rare Firing System L
Exotic Firing System XS
Exotic Firing System S
Exotic Firing System M
Exotic Firing System L
Basic Gas Cylinder XS
Basic Gas Cylinder S
Basic Gas Cylinder M
Basic Ionic Chamber XS
Basic Ionic Chamber S
Basic Ionic Chamber M
Basic Ionic Chamber L
Basic Ionic Chamber XL
Uncommon Ionic Chamber XS
Uncommon Ionic Chamber S
Uncommon Ionic Chamber M
Uncommon Ionic Chamber L
Uncommon Ionic Chamber XL
Advanced Ionic Chamber XS
Advanced Ionic Chamber S
Advanced Ionic Chamber M
Advanced Ionic Chamber L
Advanced Ionic Chamber XL
Rare Ionic Chamber XS
Rare Ionic Chamber S
Rare Ionic Chamber M
Rare Ionic Chamber L
Rare Ionic Chamber XL
Basic Laser Chamber S
Uncommon Laser Chamber XS
Advanced Laser Chamber XS
Advanced Laser Chamber S
Advanced Laser Chamber M
Advanced Laser Chamber L
Advanced Laser Chamber XL
Rare Laser Chamber XS
Rare Laser Chamber S
Rare Laser Chamber M
Rare Laser Chamber L
Exotic Laser Chamber XS
Exotic Laser Chamber S
Exotic Laser Chamber M
Exotic Laser Chamber L
Uncommon Light XS
Uncommon Light S
Advanced Magnetic Rail XS
Advanced Magnetic Rail S
Advanced Magnetic Rail M
Advanced Magnetic Rail L
Rare Magnetic Rail XS
Rare Magnetic Rail S
Rare Magnetic Rail M
Rare Magnetic Rail L
Exotic Magnetic Rail XS
Exotic Magnetic Rail S
Exotic Magnetic Rail M
Exotic Magnetic Rail L
Basic Mechanical Sensor XS
Advanced Mechanical Sensor XS
Exotic Mechanical Sensor XS
Advanced Missile Silo XS
Advanced Missile Silo S
Advanced Missile Silo M
Advanced Missile Silo L
Rare Missile Silo XS
Rare Missile Silo S
Rare Missile Silo M
Rare Missile Silo L
Exotic Missile Silo XS
Exotic Missile Silo S
Exotic Missile Silo M
Exotic Missile Silo L
Basic Mobile Panel XS
Basic Mobile Panel S
Basic Mobile Panel M
Basic Mobile Panel L
Basic Mobile Panel XL
Uncommon Mobile Panel XS
Uncommon Mobile Panel S
Uncommon Mobile Panel M
Uncommon Mobile Panel L
Uncommon Mobile Panel XL
Advanced Mobile Panel XS
Advanced Mobile Panel S
Advanced Mobile Panel M
Advanced Mobile Panel L
Advanced Mobile Panel XL
Rare Mobile Panel XS
Rare Mobile Panel S
Rare Mobile Panel M
Rare Mobile Panel L
Rare Mobile Panel XL
Advanced Motherboard M
Basic Ore Scanner S
Basic Ore Scanner L
Uncommon Ore Scanner L
Uncommon Ore Scanner XL
Advanced Ore Scanner L
Rare Ore Scanner L
Exotic Ore Scanner L
Basic Power Transformer M
Uncommon Power Transformer S
Uncommon Power Transformer M
Advanced Power Transformer M
Rare Power Transformer M
Rare Power Transformer L
Rare Power Transformer XL
Basic Robotic Arm M
Basic Robotic Arm L
Basic Robotic Arm XL
Uncommon Robotic Arm M
Advanced Robotic Arm M
Rare Robotic Arm M
Basic Screen S
Basic Screen M
Uncommon Screen XS
Uncommon Screen L
Uncommon Screen XL
Advanced Screen XS
Advanced Screen XL
Basic Casing XS
Basic Casing S
Uncommon Casing XS
Uncommon Casing S
Uncommon Casing M
Uncommon Casing XL
Advanced Casing XS
Advanced Casing S
Advanced Casing M
Advanced Casing L
Advanced Casing XL
Rare Casing XS
Exotic Casing S
Basic Reinforced Frame XS
Basic Reinforced Frame S
Basic Reinforced Frame M
Basic Reinforced Frame L
Basic Reinforced Frame XL
Uncommon Reinforced Frame XS
Uncommon Reinforced Frame S
Uncommon Reinforced Frame M
Uncommon Reinforced Frame L
Uncommon Reinforced Frame XL
Advanced Reinforced Frame XS
Advanced Reinforced Frame S
Advanced Reinforced Frame M
Advanced Reinforced Frame L
Advanced Reinforced Frame XL
Rare Reinforced Frame XS
Rare Reinforced Frame S
Rare Reinforced Frame M
Rare Reinforced Frame L
Rare Reinforced Frame XL
Exotic Reinforced Frame XS
Exotic Reinforced Frame S
Exotic Reinforced Frame M
Exotic Reinforced Frame L
Exotic Reinforced Frame XL
Basic Standard Frame XS
Basic Standard Frame S
Basic Standard Frame M
Basic Standard Frame L
Uncommon Standard Frame XS
Uncommon Standard Frame S
Uncommon Standard Frame M
Uncommon Standard Frame L
Advanced Standard Frame XS
Advanced Standard Frame S
Advanced Standard Frame M
Advanced Standard Frame L
Advanced Standard Frame XL
Rare Standard Frame S
Rare Standard Frame M
Rare Standard Frame L
Exotic Standard Frame XS
Exotic Standard Frame S
Exotic Standard Frame M
Exotic Standard Frame L
Dynamic Core Unit XS
Dynamic Core Unit S
Dynamic Core Unit M
Dynamic Core Unit L
Static Core Unit XS
Static Core Unit S
Static Core Unit M
Static Core Unit L
Space Core Unit XS
Space Core Unit S
Space Core Unit M
Space Core Unit L
Territory Unit
Container Hub
Container XS
Container S
Container M
Container L
Container XL
Expanded Container XL
Parcel Container XS
Parcel Container S
Parcel Container M
Parcel Container L
Parcel Container XL
Expanded Parcel Container XL
Dispenser
Deprecated Dispenser
Atmospheric Fuel Tank XS
Atmospheric Fuel Tank S
Atmospheric Fuel Tank M
Atmospheric Fuel Tank L
Space Fuel Tank XS
Space Fuel Tank S
Space Fuel Tank M
Space Fuel Tank L
Rocket Fuel Tank XS
Rocket Fuel Tank S
Rocket Fuel Tank M
Rocket Fuel Tank L
Ammo Container XS
Ammo Container S
Ammo Container M
Ammo Container L
Basic Assembly Line XS
Uncommon Assembly Line XS
Advanced Assembly Line XS
Rare Assembly Line XS
Basic Assembly Line S
Uncommon Assembly Line S
Advanced Assembly Line S
Rare Assembly Line S
Basic Assembly Line M
Uncommon Assembly Line M
Advanced Assembly Line M
Rare Assembly Line M
Basic Assembly Line L
Uncommon Assembly Line L
